SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
533320,JUBILNT IND ,B ,Q,181.40,183.15,176.40,179.85,179.85,184.90,102,3212,577033.00,
533321,BIL ENERGY  ,B ,Q,0.88,0.88,0.87,0.87,0.87,0.91,53,62389,54333.00,
533326,TEXMACO RAIL,A ,Q,90.00,90.15,86.45,88.55,88.55,89.20,638,94724,8337979.00,
533329,IND TERRAIN ,B ,Q,196.00,201.00,195.00,200.95,200.95,195.15,15,591,117496.00,
533333,FINEOTEX  CH,B ,Q,59.40,62.20,56.30,59.20,59.20,59.25,1387,203169,11906394.00,
533336,DHUNINV     ,B ,Q,380.00,380.00,370.00,380.00,380.00,378.50,9,213,80144.00,
533339,ZEN TECH    ,B ,Q,124.80,125.10,119.00,121.00,121.00,122.35,732,43854,5296588.00,
533343,LOVABLE     ,B ,Q,205.00,205.00,196.00,201.40,201.40,197.30,216,7908,1574740.00,
533344,PTCFIN SER  ,A ,Q,28.50,28.50,26.35,27.10,27.10,28.45,1541,524806,14278360.00,
533385,N100        ,E ,Q,525.90,525.90,525.90,525.90,525.90,512.00,2,25,13147.00,
533389,SHILPI CABLE,B ,Q,9.90,10.00,9.41,9.41,9.41,9.90,125,43732,415273.00,
533393,TCI DEVELP  ,T ,Q,500.00,510.00,500.00,500.00,500.00,522.00,8,372,187000.00,
533398,MUTHOOT FIN ,A ,Q,378.00,384.30,372.00,381.20,381.20,376.65,558,25176,9549105.00,
533400,FCONSUMER   ,A ,Q,54.50,55.25,52.60,53.90,53.90,53.80,1487,551215,29728383.00,
533407,CIL NOVA    ,B ,Q,39.25,39.25,35.00,37.85,37.50,38.60,20,5005,190898.00,
533411,SANGH FORG  ,B ,Q,34.00,34.00,32.00,33.15,33.15,32.25,25,834,27014.00,
533451,KARMA ENERG ,B ,Q,33.00,35.05,32.00,32.35,32.10,33.45,17,2760,90033.00,
